2.8552	2.7247	2.3982	1.9469	1.4563	0.99968	0.62256	0.34163	0.1489	0.026746	-0.042929	-0.075574	-0.084291	-0.080686	-0.074741	-0.073054	-0.077448	-0.084971	-0.089976	-0.087316
2.7388	2.6153	2.3043	1.8746	1.4081	0.97411	0.61537	0.34605	0.15789	0.034137	-0.042092	-0.084735	-0.10512	-0.11294	-0.11632	-0.1204	-0.12623	-0.13084	-0.12924	-0.11736
2.4308	2.3228	2.0503	1.6739	1.2652	0.8846	0.56838	0.32782	0.15549	0.037035	-0.041645	-0.091854	-0.12246	-0.14074	-0.15257	-0.16139	-0.16737	-0.16765	-0.15811	-0.13601
2.0028	1.916	1.6965	1.3933	1.0638	0.75542	0.49631	0.29487	0.14557	0.037736	-0.038951	-0.092637	-0.12963	-0.15492	-0.17231	-0.18363	-0.18824	-0.18333	-0.16566	-0.13371
1.5382	1.4742	1.3124	1.0888	0.84482	0.61404	0.41606	0.25684	0.13334	0.039323	-0.031417	-0.083947	-0.12244	-0.15021	-0.16952	-0.18094	-0.18305	-0.17298	-0.14805	-0.10759
1.1079	1.0651	0.95665	0.80658	0.64158	0.48253	0.34122	0.22163	0.12343	0.044694	-0.016972	-0.06411	-0.0995	-0.12559	-0.14374	-0.15362	-0.15309	-0.13896	-0.10864	-0.06183
0.75642	0.73014	0.6644	0.57371	0.47296	0.37282	0.27887	0.19352	0.11874	0.055969	0.0056396	-0.03307	-0.062135	-0.083821	-0.099146	-0.10716	-0.105	-0.088886	-0.055834	-0.0053665
0.49638	0.48098	0.44493	0.39645	0.34234	0.28633	0.22956	0.17292	0.11973	0.073559	0.036357	0.0079509	-0.01346	-0.030072	-0.042647	-0.049775	-0.047872	-0.032402	0.00031009	0.051375
0.3178	0.308	0.28959	0.26746	0.244	0.21894	0.19066	0.15832	0.12542	0.096284	0.073304	0.056019	0.042126	0.029529	0.018101	0.010073	0.0096342	0.021962	0.05148	0.10003
0.20365	0.19561	0.18577	0.17786	0.17257	0.16797	0.16105	0.14913	0.1349	0.12223	0.11307	0.10633	0.098889	0.088603	0.076335	0.065537	0.061223	0.068783	0.092941	0.13607
0.13907	0.13098	0.12434	0.12284	0.12694	0.13456	0.14239	0.14616	0.14735	0.14869	0.15104	0.15246	0.14958	0.14012	0.12593	0.11168	0.10312	0.10559	0.12335	0.1587
0.11276	0.10474	0.099267	0.10005	0.10781	0.12094	0.1366	0.1497	0.16079	0.17142	0.18125	0.18757	0.18689	0.17741	0.16169	0.14511	0.13366	0.1321	0.14352	0.16952
0.11408	0.10734	0.10321	0.1048	0.11272	0.12591	0.14232	0.15722	0.17105	0.18474	0.19716	0.20503	0.20482	0.19538	0.17977	0.16349	0.15194	0.14853	0.15468	0.17075
0.13078	0.1267	0.12503	0.12742	0.13361	0.14273	0.15368	0.16324	0.17265	0.18322	0.1937	0.20051	0.20018	0.19194	0.17891	0.16614	0.15781	0.15532	0.15792	0.16456
0.14971	0.14924	0.15115	0.15492	0.1587	0.16129	0.16249	0.16154	0.16139	0.1643	0.1696	0.17389	0.17379	0.16835	0.16035	0.15395	0.15172	0.15276	0.15403	0.15307
0.16001	0.16372	0.17007	0.17597	0.17752	0.17279	0.16242	0.14856	0.13651	0.12987	0.12873	0.13002	0.13047	0.12894	0.12757	0.1293	0.13501	0.14171	0.14432	0.13916
0.15665	0.1651	0.17659	0.18534	0.18536	0.17379	0.15214	0.12542	0.10141	0.085323	0.077907	0.076289	0.077304	0.079788	0.085271	0.095582	0.11014	0.12428	0.13143	0.12686
0.14143	0.15562	0.17291	0.1852	0.18452	0.16714	0.1356	0.097493	0.062696	0.037936	0.024702	0.020265	0.021422	0.02709	0.038511	0.056774	0.080356	0.10366	0.11905	0.12072
0.12125	0.14243	0.1661	0.18222	0.18135	0.15922	0.11932	0.071409	0.027178	-0.0055025	-0.02451	-0.032325	-0.031975	-0.02445	-0.008556	0.0166	0.049247	0.08343	0.11076	0.12418
0.1044	0.13344	0.16363	0.18338	0.18226	0.15579	0.10851	0.051836	-0.0010751	-0.041348	-0.066397	-0.07837	-0.079964	-0.071883	-0.052801	-0.021618	0.020085	0.066384	0.10837	0.13768
