0.29025	0.28938	0.28678	0.28251	0.27669	0.26943	0.2609	0.2513	0.24081	0.22966	0.21806	0.20621	0.19432	0.18258	0.17114	0.16014	0.14971	0.13993	0.13086	0.12256	0.11503	0.10828	0.10229	0.097025	0.092445	0.088498	0.08513	0.082283	0.079899	0.077921
0.28938	0.28851	0.28592	0.28167	0.27587	0.26864	0.26015	0.25058	0.24013	0.22903	0.21747	0.20567	0.19383	0.18213	0.17074	0.15978	0.14939	0.13965	0.13062	0.12235	0.11485	0.10813	0.10216	0.096919	0.092356	0.088425	0.08507	0.082235	0.07986	0.07789
0.28678	0.28592	0.28336	0.27916	0.27343	0.26629	0.25789	0.24844	0.23812	0.22714	0.21572	0.20407	0.19237	0.1808	0.16954	0.15872	0.14845	0.13883	0.12991	0.12173	0.11432	0.10768	0.10178	0.096601	0.092093	0.088208	0.084893	0.082092	0.079745	0.077798
0.28251	0.28167	0.27916	0.27505	0.26943	0.26243	0.2542	0.24493	0.23481	0.22406	0.21286	0.20143	0.18996	0.17863	0.16759	0.15698	0.14691	0.13748	0.12873	0.12072	0.11346	0.10694	0.10116	0.096081	0.091661	0.087853	0.084603	0.081856	0.079556	0.077648
0.27669	0.27587	0.27343	0.26943	0.26396	0.25715	0.24915	0.24013	0.2303	0.21983	0.20894	0.19783	0.18667	0.17565	0.16491	0.1546	0.14481	0.13563	0.12712	0.11933	0.11227	0.10593	0.10031	0.095369	0.09107	0.087367	0.084206	0.081535	0.079298	0.077442
0.26943	0.26864	0.26629	0.26243	0.25715	0.25058	0.24286	0.23416	0.22467	0.21457	0.20407	0.19334	0.18258	0.17194	0.16158	0.15163	0.14218	0.13333	0.12512	0.1176	0.11079	0.10467	0.09925	0.094482	0.090335	0.086762	0.083712	0.081135	0.078976	0.077185
0.2609	0.26015	0.25789	0.2542	0.24915	0.24286	0.23547	0.22714	0.21806	0.20839	0.19834	0.18807	0.17777	0.16759	0.15767	0.14814	0.1391	0.13062	0.12277	0.11557	0.10905	0.1032	0.098004	0.093441	0.089471	0.086051	0.083132	0.080664	0.078598	0.076884
0.2513	0.25058	0.24844	0.24493	0.24013	0.23416	0.22714	0.21924	0.21061	0.20143	0.19188	0.18213	0.17235	0.16268	0.15326	0.14421	0.13563	0.12758	0.12012	0.11328	0.10709	0.10153	0.096601	0.092268	0.088498	0.085249	0.082478	0.080135	0.078172	0.076545
0.24081	0.24013	0.23812	0.23481	0.2303	0.22467	0.21806	0.21061	0.20248	0.19383	0.18484	0.17565	0.16643	0.15732	0.14845	0.13993	0.13184	0.12425	0.11723	0.11079	0.10495	0.099716	0.09507	0.090987	0.087435	0.084375	0.081764	0.079556	0.077708	0.076174
0.22966	0.22903	0.22714	0.22406	0.21983	0.21457	0.20839	0.20143	0.19383	0.18575	0.17734	0.16876	0.16014	0.15163	0.14334	0.13537	0.12781	0.12072	0.11415	0.10813	0.10268	0.097784	0.093441	0.089625	0.086306	0.083445	0.081004	0.078941	0.077213	0.07578
